Size (SIZE);Parallel Time;Execution
2500;0.918510;1
2500;0.935007;2
2500;0.901855;3
2500;0.900123;4
2500;0.911923;5
2500;0.921946;6
2500;0.911497;7
2500;0.904457;8
2500;0.906571;9
2500;0.920361;10
2500;0.927430;11
2500;0.902482;12
2500;0.908480;13
2500;0.912475;14
2500;0.907143;15
2500;0.927771;16
2500;0.925138;17
2500;0.940486;18
2500;0.904604;19
2500;0.915712;20
