Size (SIZE);Parallel Time;Execution
7500;14.587400;1
7500;14.583691;2
7500;14.581329;3
7500;14.580649;4
7500;14.581865;5
7500;14.577001;6
7500;14.585761;7
7500;14.578744;8
7500;14.584859;9
7500;14.581476;10
7500;14.583290;11
7500;14.578846;12
7500;14.590453;13
7500;14.583525;14
7500;14.575143;15
7500;14.579324;16
7500;14.582906;17
7500;14.584692;18
7500;14.573351;19
7500;14.576598;20
7500;11.535538;1
7500;11.516548;2
7500;11.524156;3
7500;11.526147;4
7500;11.512128;5
7500;11.521321;6
7500;11.522759;7
7500;11.515333;8
7500;11.530228;9
7500;11.514208;10
7500;11.522379;11
7500;11.519293;12
7500;11.512458;13
7500;11.516141;14
7500;11.531663;15
7500;11.515791;16
7500;11.513545;17
7500;11.524323;18
7500;11.514294;19
7500;11.520417;20
7500;11.339652;1
7500;11.324073;2
7500;11.334604;3
7500;11.336834;4
7500;11.337745;5
7500;11.340432;6
7500;11.340714;7
7500;11.327004;8
7500;11.337257;9
7500;11.330724;10
7500;11.340345;11
7500;11.332667;12
7500;11.328647;13
7500;11.332761;14
7500;11.326527;15
7500;11.336283;16
7500;11.343232;17
7500;11.333501;18
7500;11.328252;19
7500;11.326206;20
7500;11.466004;1
7500;11.434706;2
7500;11.439089;3
7500;11.438162;4
7500;11.432144;5
7500;11.436159;6
7500;11.431986;7
7500;11.441512;8
7500;11.433530;9
7500;11.443168;10
7500;11.438795;11
7500;11.438393;12
7500;11.428483;13
7500;11.441801;14
7500;11.431611;15
7500;11.434247;16
7500;11.435857;17
7500;11.447899;18
7500;11.441343;19
7500;11.433438;20
