Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10000,10000,20);3803;0.318144;3803;0.313440;1;1
(10000,10000,20);3803;0.319429;3803;0.312977;1;2
(10000,10000,20);3803;0.315417;3803;0.312838;1;3
(10000,10000,20);3803;0.319377;3803;0.313456;1;4
(10000,10000,20);3803;0.319693;3803;0.313714;1;5
(10000,10000,20);3803;0.320596;3803;0.312215;1;6
(10000,10000,20);3803;0.317556;3803;0.317815;1;7
(10000,10000,20);3803;0.314566;3803;0.312762;1;8
(10000,10000,20);3803;0.323081;3803;0.317408;1;9
(10000,10000,20);3803;0.313420;3803;0.311855;1;10
(10000,10000,20);3803;0.313991;3803;0.311502;1;11
(10000,10000,20);3803;0.317329;3803;0.311788;1;12
(10000,10000,20);3803;0.312340;3803;0.310704;1;13
(10000,10000,20);3803;0.314537;3803;0.311536;1;14
(10000,10000,20);3803;0.317998;3803;0.312411;1;15
(10000,10000,20);3803;0.316183;3803;0.312137;1;16
(10000,10000,20);3803;0.313811;3803;0.311943;1;17
(10000,10000,20);3803;0.318050;3803;0.312019;1;18
(10000,10000,20);3803;0.312665;3803;0.311952;1;19
(10000,10000,20);3803;0.317947;3803;0.312147;1;20
(20000,20000,20);7619;1.287633;7619;1.239300;1;1
(20000,20000,20);7619;1.282326;7619;1.238844;1;2
(20000,20000,20);7619;1.282698;7619;1.240274;1;3
(20000,20000,20);7619;1.285570;7619;1.241501;1;4
(20000,20000,20);7619;1.287834;7619;1.239332;1;5
(20000,20000,20);7619;1.286167;7619;1.240596;1;6
(20000,20000,20);7619;1.283257;7619;1.238964;1;7
(20000,20000,20);7619;1.292914;7619;1.240195;1;8
(20000,20000,20);7619;1.288344;7619;1.239246;1;9
(20000,20000,20);7619;1.286518;7619;1.252545;1;10
(20000,20000,20);7619;1.281132;7619;1.238505;1;11
(20000,20000,20);7619;1.291105;7619;1.239961;1;12
(20000,20000,20);7619;1.289906;7619;1.237175;1;13
(20000,20000,20);7619;1.288561;7619;1.238095;1;14
(20000,20000,20);7619;1.286577;7619;1.235639;1;15
(20000,20000,20);7619;1.280414;7619;1.238651;1;16
(20000,20000,20);7619;1.284629;7619;1.264585;1;17
(20000,20000,20);7619;1.292537;7619;1.249173;1;18
(20000,20000,20);7619;1.286643;7619;1.239043;1;19
(20000,20000,20);7619;1.282789;7619;1.242950;1;20
(30000,30000,20);11426;2.904498;11426;2.779437;1;1
(30000,30000,20);11426;2.896118;11426;2.781522;1;2
(30000,30000,20);11426;2.905145;11426;2.778445;1;3
(30000,30000,20);11426;2.909146;11426;2.763470;1;4
(30000,30000,20);11426;2.897432;11426;2.776829;1;5
(30000,30000,20);11426;2.887321;11426;2.780621;1;6
(30000,30000,20);11426;2.891968;11426;2.779468;1;7
(30000,30000,20);11426;2.897570;11426;2.776517;1;8
(30000,30000,20);11426;2.906754;11426;2.814575;1;9
(30000,30000,20);11426;2.962653;11426;2.779128;1;10
(30000,30000,20);11426;2.897013;11426;2.782819;1;11
(30000,30000,20);11426;2.895649;11426;2.775563;1;12
(30000,30000,20);11426;2.893121;11426;2.778014;1;13
(30000,30000,20);11426;2.894454;11426;2.781710;1;14
(30000,30000,20);11426;2.915675;11426;2.802384;1;15
(30000,30000,20);11426;2.893216;11426;2.777525;1;16
(30000,30000,20);11426;2.889335;11426;2.777357;1;17
(30000,30000,20);11426;2.924214;11426;2.791773;1;18
(30000,30000,20);11426;2.887407;11426;2.776172;1;19
(30000,30000,20);11426;2.895571;11426;2.828220;1;20
(40000,40000,20);21434;5.204291;21434;4.939774;1;1
(40000,40000,20);21434;5.163804;21434;4.944432;1;2
(40000,40000,20);21434;5.161175;21434;4.967579;1;3
(40000,40000,20);21434;5.185666;21434;4.984464;1;4
(40000,40000,20);21434;5.160754;21434;4.975748;1;5
(40000,40000,20);21434;5.205059;21434;4.953821;1;6
(40000,40000,20);21434;5.272772;21434;4.970891;1;7
(40000,40000,20);21434;5.166454;21434;4.952587;1;8
(40000,40000,20);21434;5.167550;21434;4.952945;1;9
(40000,40000,20);21434;5.180954;21434;4.852867;1;10
(40000,40000,20);21434;5.180046;21434;4.969401;1;11
(40000,40000,20);21434;5.181460;21434;4.956455;1;12
(40000,40000,20);21434;5.208145;21434;4.980599;1;13
(40000,40000,20);21434;5.188093;21434;4.955678;1;14
(40000,40000,20);21434;5.180433;21434;4.944653;1;15
(40000,40000,20);21434;5.209456;21434;4.966289;1;16
(40000,40000,20);21434;5.188278;21434;4.951857;1;17
(40000,40000,20);21434;5.205190;21434;5.061856;1;18
(40000,40000,20);21434;5.202810;21434;4.959056;1;19
(40000,40000,20);21434;5.200297;21434;4.951124;1;20
