Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10000,10000,20);3803;0.335892;3803;0.619048;4;1
(10000,10000,20);3803;0.407676;3803;0.608540;4;2
(10000,10000,20);3803;0.336803;3803;0.516702;4;3
(10000,10000,20);3803;0.331342;3803;0.584930;4;4
(10000,10000,20);3803;0.343498;3803;0.599198;4;5
(10000,10000,20);3803;0.347305;3803;0.511476;4;6
(10000,10000,20);3803;0.333715;3803;0.556853;4;7
(10000,10000,20);3803;0.330709;3803;0.726340;4;8
(10000,10000,20);3803;0.355346;3803;0.682564;4;9
(10000,10000,20);3803;0.340400;3803;0.497340;4;10
(10000,10000,20);3803;0.338357;3803;0.606951;4;11
(10000,10000,20);3803;0.334191;3803;0.500211;4;12
(10000,10000,20);3803;0.417162;3803;0.618905;4;13
(10000,10000,20);3803;0.336111;3803;0.544430;4;14
(10000,10000,20);3803;0.346377;3803;0.607146;4;15
(10000,10000,20);3803;0.352923;3803;0.610697;4;16
(10000,10000,20);3803;0.340028;3803;0.537458;4;17
(10000,10000,20);3803;0.364755;3803;0.555345;4;18
(10000,10000,20);3803;0.443032;3803;0.493370;4;19
(10000,10000,20);3803;0.331064;3803;0.594177;4;20
(20000,20000,20);7619;1.402459;7619;1.957947;4;1
(20000,20000,20);7619;1.325217;7619;1.432068;4;2
(20000,20000,20);7619;1.320557;7619;1.685451;4;3
(20000,20000,20);7619;1.326756;7619;1.771536;4;4
(20000,20000,20);7619;1.340743;7619;1.613979;4;5
(20000,20000,20);7619;1.336953;7619;1.899861;4;6
(20000,20000,20);7619;1.352992;7619;1.794836;4;7
(20000,20000,20);7619;1.337224;7619;1.551869;4;8
(20000,20000,20);7619;1.387235;7619;2.144946;4;9
(20000,20000,20);7619;1.342798;7619;1.732606;4;10
(20000,20000,20);7619;1.345099;7619;1.559099;4;11
(20000,20000,20);7619;1.367222;7619;1.945825;4;12
(20000,20000,20);7619;1.369735;7619;2.071416;4;13
(20000,20000,20);7619;1.351629;7619;1.934574;4;14
(20000,20000,20);7619;1.379341;7619;2.068187;4;15
(20000,20000,20);7619;1.358288;7619;1.857205;4;16
(20000,20000,20);7619;1.350346;7619;2.176060;4;17
(20000,20000,20);7619;1.385092;7619;2.105447;4;18
(20000,20000,20);7619;1.373250;7619;1.561839;4;19
(20000,20000,20);7619;1.330517;7619;1.966169;4;20
(30000,30000,20);11426;3.112430;11426;4.089261;4;1
(30000,30000,20);11426;3.078716;11426;3.666117;4;2
(30000,30000,20);11426;2.966957;11426;3.525811;4;3
(30000,30000,20);11426;3.075920;11426;3.612939;4;4
(30000,30000,20);11426;3.057241;11426;3.274518;4;5
(30000,30000,20);11426;3.076945;11426;4.333134;4;6
(30000,30000,20);11426;2.975872;11426;3.473680;4;7
(30000,30000,20);11426;2.942593;11426;3.479410;4;8
(30000,30000,20);11426;2.957144;11426;3.072381;4;9
(30000,30000,20);11426;2.967185;11426;3.547600;4;10
(30000,30000,20);11426;3.099352;11426;4.253317;4;11
(30000,30000,20);11426;2.969172;11426;3.546888;4;12
(30000,30000,20);11426;3.000514;11426;3.365045;4;13
(30000,30000,20);11426;3.111463;11426;3.763523;4;14
(30000,30000,20);11426;2.949434;11426;3.244584;4;15
(30000,30000,20);11426;3.132274;11426;3.180661;4;16
(30000,30000,20);11426;3.072381;11426;3.646902;4;17
(30000,30000,20);11426;3.219818;11426;3.578888;4;18
(30000,30000,20);11426;3.292360;11426;3.950048;4;19
(30000,30000,20);11426;2.952944;11426;3.225995;4;20
(40000,40000,20);21434;5.190371;21434;5.359748;4;1
(40000,40000,20);21434;5.325013;21434;5.600243;4;2
(40000,40000,20);21434;5.412692;21434;5.726558;4;3
(40000,40000,20);21434;5.434725;21434;5.734157;4;4
(40000,40000,20);21434;5.185033;21434;5.495655;4;5
(40000,40000,20);21434;5.323729;21434;5.345037;4;6
(40000,40000,20);21434;5.242010;21434;5.532212;4;7
(40000,40000,20);21434;5.627990;21434;6.900274;4;8
(40000,40000,20);21434;5.324913;21434;6.123961;4;9
(40000,40000,20);21434;5.284261;21434;5.731264;4;10
(40000,40000,20);21434;5.196657;21434;4.951496;4;11
(40000,40000,20);21434;5.512388;21434;5.965333;4;12
(40000,40000,20);21434;5.274268;21434;5.246724;4;13
(40000,40000,20);21434;5.252593;21434;4.446425;4;14
(40000,40000,20);21434;5.159228;21434;5.654186;4;15
(40000,40000,20);21434;5.234319;21434;5.435844;4;16
(40000,40000,20);21434;5.300407;21434;5.142888;4;17
(40000,40000,20);21434;5.524615;21434;6.072685;4;18
(40000,40000,20);21434;5.228607;21434;5.251263;4;19
(40000,40000,20);21434;5.360800;21434;5.455422;4;20
