Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(60000,60000,20);29067;6.456636;29067;4.270676;1
(60000,60000,20);29067;6.434147;29067;3.839097;2
(60000,60000,20);29067;6.391819;29067;3.873975;3
(60000,60000,20);29067;6.394673;29067;3.770372;4
(60000,60000,20);29067;6.368538;29067;3.900507;5
(60000,60000,20);29067;6.357272;29067;3.868966;6
(60000,60000,20);29067;6.379694;29067;3.734364;7
(60000,60000,20);29067;6.367779;29067;3.715034;8
(60000,60000,20);29067;6.356289;29067;3.844248;9
(60000,60000,20);29067;6.348102;29067;3.747619;10
(60000,60000,20);29067;6.359271;29067;3.753728;11
(60000,60000,20);29067;6.361006;29067;3.902755;12
(60000,60000,20);29067;6.422993;29067;3.814724;13
(60000,60000,20);29067;6.385486;29067;4.040785;14
(60000,60000,20);29067;6.406940;29067;3.849385;15
(60000,60000,20);29067;6.397728;29067;3.837352;16
(60000,60000,20);29067;6.367574;29067;3.922380;17
(60000,60000,20);29067;6.376364;29067;3.711290;18
(60000,60000,20);29067;6.378658;29067;4.002073;19
(60000,60000,20);29067;6.394448;29067;3.923001;20
(60000,60000,20);29067;6.380758;29067;3.766866;21
(60000,60000,20);29067;6.386182;29067;3.677375;22
(60000,60000,20);29067;6.403473;29067;3.899151;23
(60000,60000,20);29067;6.383513;29067;3.843792;24
(60000,60000,20);29067;6.364963;29067;3.710097;25
(60000,60000,20);29067;6.403339;29067;3.707703;26
(60000,60000,20);29067;6.359904;29067;3.678148;27
(60000,60000,20);29067;6.397010;29067;3.783027;28
(60000,60000,20);29067;6.384010;29067;3.798220;29
(60000,60000,20);29067;6.341749;29067;3.846612;30
