Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(60000,60000,20);29067;6.387376;29067;1.871659;1
(60000,60000,20);29067;6.404302;29067;1.650374;2
(60000,60000,20);29067;6.413863;29067;1.672679;3
(60000,60000,20);29067;6.407711;29067;1.677752;4
(60000,60000,20);29067;6.403918;29067;1.692612;5
(60000,60000,20);29067;6.397605;29067;1.673637;6
(60000,60000,20);29067;6.405832;29067;1.676139;7
(60000,60000,20);29067;6.393984;29067;1.667570;8
(60000,60000,20);29067;6.406517;29067;1.664388;9
(60000,60000,20);29067;6.404327;29067;1.659239;10
(60000,60000,20);29067;6.407730;29067;1.662622;11
(60000,60000,20);29067;6.406010;29067;1.675718;12
(60000,60000,20);29067;6.407451;29067;1.667020;13
(60000,60000,20);29067;6.403720;29067;1.669614;14
(60000,60000,20);29067;6.387904;29067;1.664535;15
(60000,60000,20);29067;6.390483;29067;1.669628;16
(60000,60000,20);29067;6.390061;29067;1.666941;17
(60000,60000,20);29067;6.401715;29067;1.690610;18
(60000,60000,20);29067;6.383516;29067;1.775361;19
(60000,60000,20);29067;6.389283;29067;1.647964;20
(60000,60000,20);29067;6.397901;29067;1.668246;21
(60000,60000,20);29067;6.402936;29067;1.669253;22
(60000,60000,20);29067;6.398605;29067;1.668267;23
(60000,60000,20);29067;6.406797;29067;1.668069;24
(60000,60000,20);29067;6.396504;29067;1.666073;25
(60000,60000,20);29067;6.398735;29067;1.657515;26
(60000,60000,20);29067;6.394220;29067;1.666231;27
(60000,60000,20);29067;6.402417;29067;1.675906;28
(60000,60000,20);29067;6.384848;29067;1.672454;29
(60000,60000,20);29067;6.402697;29067;1.670903;30
