Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000002;5;0.000432;1
(10,7,6);5;0.000003;5;0.000282;2
(10,7,6);5;0.000002;5;0.000215;3
(10,7,6);5;0.000002;5;0.000222;4
(10,7,6);5;0.000002;5;0.002599;5
(10,7,6);5;0.000003;5;0.000272;6
(10,7,6);5;0.000002;5;0.000266;7
(10,7,6);5;0.000002;5;0.000246;8
(10,7,6);5;0.000002;5;0.000297;9
(10,7,6);5;0.000002;5;0.000202;10
(10,7,6);5;0.000002;5;0.000205;11
(10,7,6);5;0.000002;5;0.000267;12
(10,7,6);5;0.000002;5;0.000196;13
(10,7,6);5;0.000002;5;0.000188;14
(10,7,6);5;0.000002;5;0.000223;15
(10,7,6);5;0.000003;5;0.000361;16
(10,7,6);5;0.000002;5;0.000207;17
(10,7,6);5;0.000002;5;0.000201;18
(10,7,6);5;0.000002;5;0.000271;19
(10,7,6);5;0.000002;5;0.000236;20
(846,756,20);302;0.004130;302;0.004160;1
(846,756,20);302;0.002904;302;0.003578;2
(846,756,20);302;0.002901;302;0.003513;3
(846,756,20);302;0.002874;302;0.003379;4
(846,756,20);302;0.004182;302;0.004565;5
(846,756,20);302;0.004143;302;0.004165;6
(846,756,20);302;0.004167;302;0.004176;7
(846,756,20);302;0.003004;302;0.003299;8
(846,756,20);302;0.002892;302;0.003286;9
(846,756,20);302;0.002912;302;0.003376;10
(846,756,20);302;0.002315;302;0.002982;11
(846,756,20);302;0.001486;302;0.002788;12
(846,756,20);302;0.002877;302;0.003181;13
(846,756,20);302;0.002892;302;0.003076;14
(846,756,20);302;0.004153;302;0.003912;15
(846,756,20);302;0.004131;302;0.003857;16
(846,756,20);302;0.002919;302;0.003113;17
(846,756,20);302;0.002926;302;0.003469;18
(846,756,20);302;0.004138;302;0.003810;19
(846,756,20);302;0.002888;302;0.003216;20
(29610,26460,20);10706;2.575900;10706;0.793531;1
(29610,26460,20);10706;2.630770;10706;0.842072;2
(29610,26460,20);10706;2.557828;10706;0.736310;3
(29610,26460,20);10706;2.566541;10706;0.726215;4
(29610,26460,20);10706;2.544780;10706;0.724046;5
(29610,26460,20);10706;2.535600;10706;0.726764;6
(29610,26460,20);10706;2.536774;10706;0.731059;7
(29610,26460,20);10706;2.793018;10706;0.772760;8
(29610,26460,20);10706;2.543500;10706;0.758848;9
(29610,26460,20);10706;2.544510;10706;0.723052;10
(29610,26460,20);10706;2.563188;10706;0.726795;11
(29610,26460,20);10706;2.574184;10706;0.724297;12
(29610,26460,20);10706;2.585460;10706;0.787738;13
(29610,26460,20);10706;2.726306;10706;0.800638;14
(29610,26460,20);10706;2.658894;10706;0.758384;15
(29610,26460,20);10706;2.610845;10706;0.828032;16
(29610,26460,20);10706;2.757367;10706;0.760926;17
(29610,26460,20);10706;2.794079;10706;0.896418;18
(29610,26460,20);10706;2.729831;10706;0.953525;19
(29610,26460,20);10706;2.719973;10706;0.923320;20
