Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(60000,60000,20);29067;6.358949;29067;1.616043;1
(60000,60000,20);29067;6.337386;29067;1.865838;2
(60000,60000,20);29067;6.344192;29067;1.605587;3
(60000,60000,20);29067;6.336747;29067;1.598824;4
(60000,60000,20);29067;6.343174;29067;1.602093;5
(60000,60000,20);29067;6.343991;29067;1.589957;6
(60000,60000,20);29067;6.341778;29067;1.593784;7
(60000,60000,20);29067;6.336509;29067;1.602150;8
(60000,60000,20);29067;6.328941;29067;1.599239;9
(60000,60000,20);29067;6.338963;29067;1.599455;10
(60000,60000,20);29067;6.335452;29067;1.599756;11
(60000,60000,20);29067;6.338231;29067;1.598282;12
(60000,60000,20);29067;6.342336;29067;1.617670;13
(60000,60000,20);29067;6.343048;29067;1.607338;14
(60000,60000,20);29067;6.350745;29067;1.595732;15
(60000,60000,20);29067;6.326902;29067;1.594604;16
(60000,60000,20);29067;6.340698;29067;1.649979;17
(60000,60000,20);29067;6.335684;29067;1.625167;18
(60000,60000,20);29067;6.330327;29067;1.677175;19
(60000,60000,20);29067;6.331895;29067;1.604254;20
(60000,60000,20);29067;6.345275;29067;1.623141;21
(60000,60000,20);29067;6.349008;29067;1.606280;22
(60000,60000,20);29067;6.339735;29067;1.608946;23
(60000,60000,20);29067;6.325195;29067;1.606816;24
(60000,60000,20);29067;6.342310;29067;1.600192;25
(60000,60000,20);29067;6.334005;29067;1.597234;26
(60000,60000,20);29067;6.337983;29067;1.593287;27
(60000,60000,20);29067;6.325188;29067;1.593585;28
(60000,60000,20);29067;6.344589;29067;1.594467;29
(60000,60000,20);29067;6.336021;29067;1.601679;30
