Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10000,10000,20);3803;0.178839;3803;0.173624;1
(10000,10000,20);3803;0.175340;3803;0.169335;2
(10000,10000,20);3803;0.176367;3803;0.172504;3
(10000,10000,20);3803;0.216015;3803;0.172877;4
(10000,10000,20);3803;0.174672;3803;0.170063;5
(10000,10000,20);3803;0.173514;3803;0.172446;6
(10000,10000,20);3803;0.175216;3803;0.173190;7
(10000,10000,20);3803;0.175162;3803;0.170194;8
(10000,10000,20);3803;0.176836;3803;0.170943;9
(10000,10000,20);3803;0.173887;3803;0.169755;10
(10000,10000,20);3803;0.173501;3803;0.168134;11
(10000,10000,20);3803;0.174738;3803;0.166849;12
(10000,10000,20);3803;0.174534;3803;0.167853;13
(10000,10000,20);3803;0.177201;3803;0.172191;14
(10000,10000,20);3803;0.174153;3803;0.167098;15
(10000,10000,20);3803;0.173425;3803;0.165175;16
(10000,10000,20);3803;0.172414;3803;0.167016;17
(10000,10000,20);3803;0.173033;3803;0.167627;18
(10000,10000,20);3803;0.174032;3803;0.167157;19
(10000,10000,20);3803;0.173182;3803;0.165836;20
(10000,10000,20);3803;0.177364;3803;0.171457;21
(10000,10000,20);3803;0.175018;3803;0.168268;22
(10000,10000,20);3803;0.176137;3803;0.174084;23
(10000,10000,20);3803;0.173174;3803;0.167210;24
(10000,10000,20);3803;0.173172;3803;0.166616;25
(10000,10000,20);3803;0.176605;3803;0.172486;26
(10000,10000,20);3803;0.172893;3803;0.166264;27
(10000,10000,20);3803;0.176702;3803;0.173732;28
(10000,10000,20);3803;0.174539;3803;0.166757;29
(10000,10000,20);3803;0.173551;3803;0.168733;30
(20000,20000,20);7619;0.711195;7619;0.670853;1
(20000,20000,20);7619;0.705567;7619;0.658847;2
(20000,20000,20);7619;0.701913;7619;0.655310;3
(20000,20000,20);7619;0.701676;7619;0.643167;4
(20000,20000,20);7619;0.701300;7619;0.651695;5
(20000,20000,20);7619;0.703216;7619;0.643684;6
(20000,20000,20);7619;0.702552;7619;0.645642;7
(20000,20000,20);7619;0.704386;7619;0.661482;8
(20000,20000,20);7619;0.709756;7619;0.669387;9
(20000,20000,20);7619;0.705697;7619;0.658785;10
(20000,20000,20);7619;0.702537;7619;0.654486;11
(20000,20000,20);7619;0.711753;7619;0.664045;12
(20000,20000,20);7619;0.708866;7619;0.655414;13
(20000,20000,20);7619;0.714588;7619;0.668288;14
(20000,20000,20);7619;0.706537;7619;0.648434;15
(20000,20000,20);7619;0.708047;7619;0.644993;16
(20000,20000,20);7619;0.701855;7619;0.645357;17
(20000,20000,20);7619;0.705327;7619;0.660178;18
(20000,20000,20);7619;0.702729;7619;0.641102;19
(20000,20000,20);7619;0.703547;7619;0.653839;20
(20000,20000,20);7619;0.700620;7619;0.643406;21
(20000,20000,20);7619;0.703141;7619;0.643691;22
(20000,20000,20);7619;0.700999;7619;0.642504;23
(20000,20000,20);7619;0.701509;7619;0.656898;24
(20000,20000,20);7619;0.702541;7619;0.645663;25
(20000,20000,20);7619;0.701392;7619;0.642074;26
(20000,20000,20);7619;0.701915;7619;0.641161;27
(20000,20000,20);7619;0.701989;7619;0.655443;28
(20000,20000,20);7619;0.701660;7619;0.642170;29
(20000,20000,20);7619;0.701713;7619;0.645478;30
(30000,30000,20);11426;1.585017;11426;1.434967;1
(30000,30000,20);11426;1.584137;11426;1.444838;2
(30000,30000,20);11426;1.583607;11426;1.429663;3
(30000,30000,20);11426;1.579653;11426;1.425610;4
(30000,30000,20);11426;1.602226;11426;1.428967;5
(30000,30000,20);11426;1.580273;11426;1.426867;6
(30000,30000,20);11426;1.581587;11426;1.429382;7
(30000,30000,20);11426;1.590588;11426;1.430492;8
(30000,30000,20);11426;1.577888;11426;1.428036;9
(30000,30000,20);11426;1.585793;11426;1.424584;10
(30000,30000,20);11426;1.580314;11426;1.424367;11
(30000,30000,20);11426;1.612777;11426;1.465916;12
(30000,30000,20);11426;1.591694;11426;1.442154;13
(30000,30000,20);11426;1.613193;11426;1.464519;14
(30000,30000,20);11426;1.610321;11426;1.476684;15
(30000,30000,20);11426;1.615947;11426;1.466656;16
(30000,30000,20);11426;1.599960;11426;1.454890;17
(30000,30000,20);11426;1.593680;11426;1.457051;18
(30000,30000,20);11426;1.612358;11426;1.468888;19
(30000,30000,20);11426;1.617185;11426;1.469154;20
(30000,30000,20);11426;1.582467;11426;1.429305;21
(30000,30000,20);11426;1.586523;11426;1.427628;22
(30000,30000,20);11426;1.597158;11426;1.432070;23
(30000,30000,20);11426;1.587199;11426;1.439398;24
(30000,30000,20);11426;1.613116;11426;1.462912;25
(30000,30000,20);11426;1.601204;11426;1.451955;26
(30000,30000,20);11426;1.595019;11426;1.444233;27
(30000,30000,20);11426;1.614698;11426;1.474948;28
(30000,30000,20);11426;1.600167;11426;1.440945;29
(30000,30000,20);11426;1.580980;11426;1.428937;30
